                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.3196,                0.73877,                  1.454,                0.91085,                0.87324,                0.91959,                0.48343,                  1.604,                0.70586,                 1.6543,              0.0071042,              0.0071042,              0.0071042
                    120,                 1.3211,                0.74005,                 1.4662,                 0.9239,                0.87564,                0.93023,                0.49169,                  1.573,                0.69239,                 1.6373,              0.0070795,              0.0070795,              0.0070795
                    121,                 1.3016,                0.73153,                 1.4395,                0.90974,                0.88562,                0.92377,                0.47589,                 1.5999,                0.68359,                 1.6463,              0.0070547,              0.0070547,              0.0070547
                    122,                 1.3047,                0.74159,                 1.4506,                0.91802,                0.87111,                0.92488,                0.47343,                 1.6078,                0.69741,                 1.6605,                0.00703,                0.00703,                0.00703
                    123,                 1.3187,                 0.7406,                 1.4635,                 0.9168,                0.89364,                0.92751,                0.47116,                 1.5945,                0.68812,                 1.6482,              0.0070053,              0.0070053,              0.0070053
                    124,                  1.318,                0.74339,                  1.458,                0.92644,                0.88178,                0.92832,                0.47495,                 1.5901,                0.68754,                 1.6434,              0.0069805,              0.0069805,              0.0069805
                    125,                 1.3151,                0.75213,                 1.4625,                0.90732,                 0.8869,                0.92072,                0.46858,                 1.6274,                0.70257,                 1.6677,              0.0069558,              0.0069558,              0.0069558
                    126,                 1.3038,                0.74323,                 1.4556,                0.90978,                0.89087,                 0.9281,                0.47685,                 1.6031,                0.70039,                 1.6602,               0.006931,               0.006931,               0.006931
                    127,                 1.3065,                0.73028,                 1.4505,                0.92101,                0.88476,                0.92904,                0.48616,                 1.5691,                0.68219,                 1.6237,              0.0069063,              0.0069063,              0.0069063
                    128,                 1.3082,                0.72425,                 1.4506,                0.92339,                0.88994,                0.92923,                0.47471,                 1.6013,                0.68132,                 1.6485,              0.0068815,              0.0068815,              0.0068815
                    129,                 1.2777,                0.71532,                  1.434,                0.91819,                0.88618,                0.92969,                0.47125,                 1.6072,                0.69932,                 1.6484,              0.0068568,              0.0068568,              0.0068568
                    130,                 1.2966,                0.73172,                 1.4522,                0.90533,                0.90199,                0.92948,                0.48616,                 1.5871,                0.69079,                 1.6357,               0.006832,               0.006832,               0.006832
                    131,                 1.2884,                0.72392,                 1.4281,                0.91854,                0.88519,                0.92322,                0.47067,                 1.6198,                0.69329,                 1.6599,              0.0068073,              0.0068073,              0.0068073
                    132,                  1.284,                0.72556,                 1.4374,                0.91025,                0.89757,                0.92547,                0.47229,                  1.628,                0.69188,                 1.6841,              0.0067825,              0.0067825,              0.0067825
                    133,                 1.2965,                0.73128,                 1.4417,                0.91448,                 0.8854,                0.92344,                0.47099,                 1.6097,                0.69318,                 1.6695,              0.0067577,              0.0067577,              0.0067577
                    134,                 1.2678,                 0.7166,                 1.4265,                0.91643,                0.88925,                0.92891,                0.47442,                 1.6106,                0.69321,                 1.6758,               0.006733,               0.006733,               0.006733
                    135,                 1.2606,                0.72054,                 1.4223,                0.90898,                0.90696,                0.93334,                0.47736,                 1.5808,                 0.6772,                 1.6499,              0.0067082,              0.0067082,              0.0067082
                    136,                 1.2629,                0.70892,                 1.4195,                0.91428,                0.89927,                0.92916,                0.47533,                    1.6,                0.67889,                 1.6664,              0.0066835,              0.0066835,              0.0066835
                    137,                 1.2795,                0.71577,                 1.4187,                0.91283,                0.88903,                 0.9242,                0.47225,                 1.6027,                0.68518,                 1.6619,              0.0066587,              0.0066587,              0.0066587
                    138,                 1.2688,                 0.7055,                 1.4238,                 0.9137,                0.88988,                0.92793,                0.47941,                 1.6019,                0.67425,                 1.6724,               0.006634,               0.006634,               0.006634
                    139,                 1.2603,                0.71468,                 1.4134,                0.91756,                0.89779,                0.93596,                0.48057,                 1.5964,                0.67122,                 1.6605,              0.0066092,              0.0066092,              0.0066092
                    140,                 1.2436,                0.69902,                 1.3987,                0.92052,                0.89415,                0.93626,                0.48662,                 1.5814,                0.66887,                 1.6534,              0.0065845,              0.0065845,              0.0065845
                    141,                 1.2491,                0.69279,                 1.4002,                0.89684,                0.90696,                0.92903,                0.48632,                 1.5961,                0.66859,                 1.6547,              0.0065598,              0.0065598,              0.0065598
                    142,                 1.2603,                0.70184,                 1.4203,                0.91931,                0.88434,                 0.9293,                0.48405,                 1.5924,                0.67775,                 1.6507,               0.006535,               0.006535,               0.006535
                    143,                 1.2517,                0.71204,                  1.412,                 0.9157,                0.88946,                0.92939,                0.48284,                 1.5923,                0.67088,                 1.6518,              0.0065102,              0.0065102,              0.0065102
                    144,                 1.2644,                0.70582,                  1.411,                0.92399,                0.88207,                0.92979,                0.48239,                 1.6004,                 0.6704,                 1.6482,              0.0064855,              0.0064855,              0.0064855
                    145,                 1.2348,                0.70212,                 1.4092,                0.92347,                 0.8961,                 0.9297,                  0.481,                 1.6071,                0.67475,                 1.6603,              0.0064608,              0.0064608,              0.0064608
                    146,                 1.2345,                0.69596,                 1.3984,                0.92344,                0.89757,                0.93386,                0.48262,                 1.5858,                0.67131,                  1.642,               0.006436,               0.006436,               0.006436
                    147,                 1.2515,                0.70956,                 1.4177,                 0.9212,                0.90397,                 0.9319,                0.48148,                 1.5958,                0.65912,                 1.6592,              0.0064112,              0.0064112,              0.0064112
                    148,                 1.2392,                0.69592,                 1.4057,                0.92131,                0.90098,                0.93027,                0.47772,                  1.613,                0.66511,                 1.6694,              0.0063865,              0.0063865,              0.0063865
